"Name","Average coverage","Reference length"
"511","13.824","7558"
"512","21.54","6305"
"513","1.406","12504"
"514","20.014","119077"
"515","12.51","7120"
"516","29.363","1177"
"517","48.939","3850"
"518","48.512","6981"
"519","8.991","17895"
"520","280.499","77540"
"521","55.357","1579"
"522","32.688","2513"
"523","8.342","95884"
"524","12.077","2316"
"525","19.558","1104"
"526","0.099","4524"
"527","2.459","196872"
"528","511.393","1665"
"529","0.248","4113"
"530","40.402","1023"
"531","16.72","52538"
"532","82.49","8249"
"533","35.49","5710"
"534","42.899","4586"
"535","794.695","1197"
"536","0.08","12715"
"537","1.237","778598"
"538","8.147","1181"
"539","1.672","2403"
"540","2.774","98085"
"541","27.888","14773"
"542","0.085","155887"
"543","30.089","7653"
"544","6.149","9268"
"545","2.076","3205"
"546","20.44","1066"
"547","82.544","37206"
"548","14.692","1953"
"549","39.852","11986"
"550","6.181","2601"
"551","812.545","1168"
"552","57.212","13633"
"553","1.044","24393"
"554","6.092","2592"
"555","25.461","3689"
"556","2.358","7749"
"557","0.444","1893"
"558","0.247","1784"
"559","29.109","161156"
"560","14.771","7338"
"561","4.678","9265"
"562","139.393","28391"
"563","49.334","18797"
"564","3.268","20475"
"565","1.958","2235"
"566","3.204","6679"
"567","30.87","5334"
"568","307.616","59529"
"569","65.136","17253"
"570","8.404","11528"
"571","11.773","15548"
"572","29.682","3922"
"573","1.503","6529"
"574","50.837","38290"
"575","4.43","5540"
"576","0.219","1213"
"577","4.5","2261"
"578","6.857","21935"
"579","97.993","4085"
"580","10.954","3875"
"581","0.297","8330"
"582","0","2638"
"583","46.002","2027"
"584","0","1245"
"585","0","1257"
"586","1.009","35818"
"587","4.007","45251"
"588","78.228","19488"
"589","5.564","4372"
"590","8.455","13900"
"591","10.271","15734"
"592","1.025","1129"
"593","15.35","8725"
"594","1.555","3993"
"595","4.773","11557"
"596","2.761","11569"
"597","38.73","43238"
"598","0.089","4071"
"599","70.911","1689"
"600","37.104","14173"
"601","37.975","3815"
"602","0.641","7097"
"603","71.932","8949"
"604","19.6","18783"
"605","5.891","1406"
"606","19.256","41387"
"607","12.964","5171"
"608","0","1735"
"609","38.581","9562"
"610","8.927","5740"
"611","9.966","24963"
"612","39.921","22263"
"613","34856.492","14531"
"614","2.426","25122"
"615","40.554","10238"
"616","14.429","26614"
"617","2191.387","1696"
"618","43.012","2384"
"619","26.249","17180"
"620","0.704","623723"
"621","62.916","4401"
"622","82.696","40459"
"623","69.87","11224"
"624","535.862","1503"
"625","70.591","26497"
"626","3376.926","1696"
"627","1336.819","1616"
"628","5.239","11344"
"629","11.084","5629"
"630","46.918","10461"
"631","8.792","28439"
"632","11.257","3542"
"633","5678.594","1597"
"634","3.552","73338"
"635","52.384","2006"
"636","1.559","5767"
"637","5.063","1390"
"638","662.739","9115"
"639","23.88","1903"
"640","13.241","93129"
"641","3.225","82685"
"642","5.38","3389"
"643","20999.863","19441"
"644","30.731","177356"
"645","0.12","54936"
"646","2.069","17389"
"647","2.015","3651"
"648","22.838","8606"
"649","72.137","1771"
"650","31.545","2023"
"651","292.322","3225"
"652","0.113","1333"
"653","1.579","1153"
"654","4.477","31026"
"655","1.283","10642"
"656","2.913","445358"
"657","6.183","41565"
"658","1.641","1291"
"659","1.683","81895"
"660","2.959","81665"
"661","90.748","60533"
"662","356.295","22161"
"663","0.205","17008"
"664","0.411","9005"
"665","0.629","4724"
"666","192.327","3491"
"667","8.934","15920"
"668","0","1095"
"669","1.25","2529"
"670","1.728","2979"
"671","1852.814","4443"
"672","1020.287","1288"
"673","34.792","3051"
"674","0","4002"
"675","27.134","11588"
"676","9.591","2684"
"677","1529.681","1301"
"678","42.017","80401"
"679","45.56","6403"
"680","6.497","133460"
"681","0.506","1764"
