"Name","Average coverage","Reference length"
"546","64.908","1066"
"547","162.445","37206"
"548","14.569","1953"
"549","934.742","11986"
"550","12.542","2601"
"551","809.974","1168"
"552","142.396","13633"
"553","107.728","24393"
"554","23.427","2592"
"555","101.53","3689"
"556","32.923","7749"
"557","46.458","1893"
"558","53.448","1784"
"559","697.025","161156"
"560","255.637","7338"
"561","123.911","9265"
"562","171.727","28391"
"563","398.378","18797"
"564","88.016","20475"
"565","28.183","2235"
"566","120.689","6679"
"567","117.388","5334"
"568","1517.968","59529"
"569","139.768","17253"
"570","398.201","11528"
"571","275.189","15548"
"572","326.776","3922"
"573","44.558","6529"
"574","544.059","38290"
"575","54.94","5540"
"576","9.457","1213"
"577","141.478","2261"
"578","189.937","21935"
"579","1071.576","4085"
"580","12.121","3875"
"581","23.128","8330"
"582","16.232","2638"
"583","485.331","2027"
"584","13.741","1245"
"585","4.758","1257"
"586","26.912","35818"
"587","35.589","45251"
"588","179.63","19488"
"589","42.419","4372"
"590","170.258","13900"
"591","87.459","15734"
"592","11.045","1129"
"593","177.273","8725"
"594","17.774","3993"
"595","98.637","11557"
"596","27.612","11569"
"597","910.002","43238"
"598","27.286","4071"
"599","36.992","1689"
"600","71.336","14173"
"601","476.886","3815"
"602","14.423","7097"
"603","545.614","8949"
"604","160.543","18783"
"605","14.447","1406"
"606","52.029","41387"
"607","72.104","5171"
"608","9.994","1735"
"609","961.488","9562"
"610","388.362","5740"
"611","406.003","24963"
"612","895.274","22263"
"613","1360.97","14531"
"614","34.462","25122"
"615","26.295","10238"
"616","51.754","26614"
"617","2300.45","1696"
"618","877.91","2384"
"619","118.914","17180"
"620","88.912","623723"
"621","21.044","4401"
"622","164.907","40459"
"623","618.887","11224"
"624","423.189","1503"
"625","698.262","26497"
"626","2009.541","1696"
"627","927.452","1616"
"628","287.738","11344"
"629","45.698","5629"
"630","953.293","10461"
"631","374.156","28439"
"632","58.985","3542"
"633","440.893","1597"
"634","86.156","73338"
"635","503.505","2006"
"636","16.262","5767"
"637","10.229","1390"
"638","495.867","9115"
"639","101.644","1903"
"640","177.387","93129"
"641","95.588","82685"
"642","69.691","3389"
"643","1480.747","19441"
"644","428.826","177356"
"645","34.339","54936"
"646","32.543","17389"
"647","14.984","3651"
"648","179.909","8606"
"649","22.839","1771"
"650","668.67","2023"
"651","928.324","3225"
"652","31.026","1333"
"653","47.687","1153"
"654","92.735","31026"
"655","110.52","10642"
"656","74.165","445358"
"657","161.6","41565"
"658","49.413","1291"
"659","64.419","81895"
"660","69.935","81665"
"661","152.681","60533"
"662","1610.259","22161"
"663","29.28","17008"
"664","23.708","9005"
"665","15.269","4724"
"666","1097.185","3491"
"667","163.678","15920"
"668","6.539","1095"
"669","15.983","2529"
"670","34.702","2979"
"671","1925.955","4443"
"672","1049.708","1288"
"673","27.701","3051"
"674","8.437","4002"
"675","175.592","11588"
"676","81.195","2684"
"677","1538.879","1301"
"678","521.675","80401"
"679","148.905","6403"
"680","88.234","133460"
"681","11.994","1764"
"682","61.829","23560"
"683","213.919","10750"
"684","18.263","1951"
"685","122.867","20214"
"686","82.946","1188"
"687","30.29","3855"
"688","32.463","3963"
"689","47.249","7697"
"690","35.557","8198"
"691","34.587","15035"
"692","112.313","1478"
"693","1425.936","1525"
"694","84.242","3206"
"695","81.292","3383"
"696","98.726","12754"
"697","1687.264","1844"
"698","37.137","6344"
"699","109.791","17762"
"700","150.512","22742"
"701","137.314","14781"
"702","1403.63","2577"
"703","141.146","8000"
"704","47.403","2511"
"705","105.776","1012"
"706","646.81","2445"
"707","54.642","5567"
"708","195.38","3122"
"709","665.606","19328"
"710","1525.938","18099"
"711","14.837","5562"
"712","87.072","42698"
"713","16.737","2298"
"714","1979.088","3163"
"715","84.946","21659"
"716","90.448","4203"
"717","39.096","1211"
"718","144.385","35599"
"719","14.681","18162"
"720","34.808","1218"
"721","125.208","6598"
"722","403.942","10807"
"723","811.75","1502"
"724","44.965","10584"
"725","166.151","19386"
"726","124.549","1226"
"727","163.285","4749"
"728","11.479","2424"
"729","8.828","1177"
"730","77.123","217602"
"731","82.249","1919"
"732","1630.982","1105"
"733","123.195","1211"
"734","17.34","3790"
"735","87.451","246560"
"736","54.147","1648"
"737","16.857","16061"
"738","616.494","7943"
"739","90.688","89468"
"740","1628.727","4027"
"741","8.578","2320"
"742","563.226","4978"
"743","31.139","35018"
"744","45.045","9376"
"745","154.446","10036"
"746","15.598","6171"
"747","114.947","82823"
"748","65.747","31353"
"749","42.814","5636"
"750","1581.087","4098"
"751","15.975","1107"
"752","67.268","3081"
"753","132.718","19251"
"754","143.688","32050"
"755","505.632","6046"
"756","430.602","1268"
"757","31.165","3074"
"758","176.852","5687"
"759","21.925","10466"
"760","18.544","6986"
"761","341.499","14328"
"762","78.842","5862"
"763","20.581","5326"
"764","9.576","2116"
